,0
0,-848.0
1,-803.0
2,-758.0
3,-812.0
4,-884.0
5,-731.0
6,-803.0
7,-776.0
8,-713.0
9,-713.0
10,-722.0
11,-749.0
12,-830.0
13,-605.0
14,-731.0
15,-731.0
16,-731.0
17,-695.0
18,-767.0
19,-749.0
20,-587.0
21,-614.0
22,-695.0
23,-731.0
24,-551.0
25,-695.0
26,-686.0
27,-686.0
28,-623.0
29,-695.0
30,-587.0
31,-614.0
32,-686.0
33,-731.0
34,-632.0
35,-632.0
36,-650.0
37,-722.0
38,-477.0
39,-627.0
40,-758.0
41,-578.0
42,-659.0
43,-560.0
44,-559.0
45,-569.0
46,-441.0
47,-677.0
48,-605.0
49,-623.0
50,-596.0
51,-578.0
52,-560.0
53,-506.0
54,-587.0
55,-138.0
56,-560.0
57,-614.0
58,-560.0
59,-560.0
60,-34.0
61,-542.0
62,-452.0
63,-515.0
64,-623.0
65,-517.0
66,-497.0
67,-386.0
68,-497.0
69,-266.0
70,-479.0
71,-488.0
72,-421.0
73,-479.0
74,-470.0
75,-524.0
76,-470.0
77,-533.0
78,-336.0
79,-587.0
80,-506.0
81,-452.0
82,-488.0
83,-497.0
84,-398.0
85,-551.0
86,-51.0
87,-380.0
88,-421.0
89,-85.0
90,-452.0
91,-470.0
92,-434.0
93,-434.0
94,-416.0
95,-362.0
96,-434.0
97,-416.0
98,-371.0
99,-506.0
100,-479.0
101,-479.0
102,-268.0
103,-398.0
104,-452.0
105,-317.0
106,-434.0
107,-425.0
108,-425.0
109,-470.0
110,-401.0
111,-335.0
112,-434.0
113,-223.0
114,-407.0
115,-398.0
116,-398.0
117,-416.0
118,-317.0
119,-326.0
120,-425.0
121,-479.0
122,-168.0
123,1.0
124,-380.0
125,-389.0
126,-443.0
127,-362.0
128,-326.0
129,-326.0
130,-344.0
131,-238.0
132,-344.0
133,-141.0
134,-326.0
135,-389.0
136,-344.0
137,-102.0
138,-362.0
139,-362.0
140,-264.0
141,-293.0
142,-362.0
143,-206.0
144,-317.0
145,-335.0
146,-308.0
147,-308.0
148,-281.0
149,-335.0
150,-353.0
151,-321.0
152,-61.0
153,-281.0
154,-335.0
155,-272.0
156,-344.0
157,-299.0
158,-115.0
159,-299.0
160,-353.0
161,-290.0
162,-335.0
163,-285.0
164,-246.0
165,-353.0
166,-317.0
167,-308.0
168,-308.0
169,-317.0
170,-299.0
171,-290.0
172,-326.0
173,-263.0
174,-398.0
175,-73.0
176,-335.0
177,-272.0
178,-28.0
179,-308.0
180,-209.0
181,-281.0
182,-153.0
183,-121.0
184,-281.0
185,-71.0
186,-317.0
187,-165.0
188,-223.0
189,-263.0
190,-299.0
191,-237.0
192,-272.0
193,-290.0
194,-96.0
195,-281.0
196,-308.0
197,-162.0
198,-222.0
199,-308.0
200,-179.0
201,-254.0
202,-245.0
203,-31.0
204,-272.0
205,-281.0
206,-92.0
207,-9.0
208,-299.0
209,-254.0
210,-91.0
211,-281.0
212,-254.0
213,-290.0
214,-281.0
215,-299.0
216,-135.0
217,-82.0
218,-164.0
219,-93.0
220,-272.0
221,-97.0
222,-290.0
223,-187.0
224,-268.0
225,-93.0
226,-236.0
227,-223.0
228,-263.0
229,-290.0
230,-211.0
231,-272.0
232,-290.0
233,-248.0
234,-164.0
235,-229.0
236,-272.0
237,-164.0
238,-254.0
239,-245.0
240,-263.0
241,-111.0
242,-236.0
243,-272.0
244,-236.0
245,-272.0
246,-263.0
247,-281.0
248,-281.0
249,-218.0
250,-254.0
251,-245.0
252,-186.0
253,-104.0
254,-87.0
255,-147.0
256,-131.0
257,-317.0
258,-56.0
259,-254.0
260,-263.0
261,3.0
262,-259.0
263,-48.0
264,-117.0
265,-105.0
266,-109.0
267,-31.0
268,-236.0
269,-281.0
270,-218.0
271,-34.0
272,-165.0
273,-245.0
274,-22.0
275,-218.0
276,-227.0
277,-61.0
278,-236.0
279,-94.0
280,-227.0
281,-223.0
282,-254.0
283,-85.0
284,-218.0
285,-199.0
286,-147.0
287,-200.0
288,-236.0
289,-155.0
290,-236.0
291,-86.0
292,-227.0
293,9.0
294,-68.0
295,-245.0
296,-84.0
297,-227.0
298,-206.0
299,-47.0
300,-87.0
301,-150.0
302,-102.0
303,-74.0
304,-236.0
305,-237.0
306,-51.0
307,-71.0
308,-159.0
309,-218.0
310,-218.0
311,-201.0
312,-48.0
313,-254.0
314,-28.0
315,-150.0
316,-11.0
317,-133.0
318,-165.0
319,-218.0
320,-89.0
321,-196.0
322,-194.0
323,-180.0
324,-54.0
325,-263.0
326,-27.0
327,-183.0
328,-53.0
329,-135.0
330,-254.0
331,-68.0
332,-199.0
333,-162.0
334,-200.0
335,-120.0
336,-188.0
337,-181.0
338,-180.0
339,8.0
340,-66.0
341,-236.0
342,-180.0
343,-13.0
344,-96.0
345,-16.0
346,-218.0
347,-207.0
348,-164.0
349,-107.0
350,-113.0
351,-19.0
352,-227.0
353,-116.0
354,-196.0
355,-201.0
356,-245.0
357,-107.0
358,-108.0
359,-254.0
360,-173.0
361,-127.0
362,-59.0
363,-65.0
364,-227.0
365,-44.0
366,-128.0
367,-211.0
368,-78.0
369,-100.0
370,-79.0
371,3.0
372,-161.0
373,-117.0
374,-218.0
375,-141.0
376,-120.0
377,-89.0
378,-60.0
379,-17.0
380,-218.0
381,-72.0
382,-80.0
383,-36.0
384,-218.0
385,-127.0
386,-136.0
387,-43.0
388,-227.0
389,-166.0
390,-218.0
391,-64.0
392,-181.0
393,-149.0
394,-79.0
395,-227.0
396,-116.0
397,-151.0
398,-218.0
399,-55.0
400,-79.0
401,10.0
402,-166.0
403,-12.0
404,-128.0
405,-236.0
406,-23.0
407,-189.0
408,-6.0
409,-94.0
410,-131.0
411,-150.0
412,-165.0
413,-197.0
414,-95.0
415,-22.0
416,0.0
417,-47.0
418,-152.0
419,-104.0
420,-144.0
421,-31.0
422,-135.0
423,-78.0
424,-64.0
425,-69.0
426,-227.0
427,-43.0
428,-144.0
429,-53.0
430,-76.0
431,12.0
432,-227.0
433,-62.0
434,-117.0
435,-122.0
436,-182.0
437,-90.0
438,-72.0
439,-16.0
440,-96.0
441,-74.0
442,-136.0
443,-27.0
444,-109.0
445,-205.0
446,-121.0
447,-100.0
448,-39.0
449,-105.0
450,-176.0
451,-45.0
452,-68.0
453,-70.0
454,-93.0
455,-159.0
456,-132.0
457,-171.0
458,-92.0
459,-28.0
460,-126.0
461,-65.0
462,-9.0
463,-91.0
464,-33.0
465,-104.0
466,-104.0
467,-120.0
468,-218.0
469,-26.0
470,-42.0
471,-140.0
472,-103.0
473,-108.0
474,-120.0
475,-155.0
476,-121.0
477,-112.0
478,-66.0
479,-106.0
480,-164.0
481,-11.0
