,0
0,-495.0
1,-767.0
2,-722.0
3,-857.0
4,-857.0
5,-749.0
6,-695.0
7,-695.0
8,-758.0
9,-668.0
10,-731.0
11,-803.0
12,-740.0
13,-812.0
14,-776.0
15,-785.0
16,-722.0
17,-713.0
18,-740.0
19,-731.0
20,-713.0
21,-686.0
22,-767.0
23,-677.0
24,-659.0
25,-632.0
26,-659.0
27,-740.0
28,-767.0
29,-632.0
30,-605.0
31,-713.0
32,-713.0
33,-812.0
34,-376.0
35,-497.0
36,-704.0
37,-650.0
38,-587.0
39,-596.0
40,-704.0
41,-632.0
42,-659.0
43,-588.0
44,-551.0
45,-614.0
46,-668.0
47,-686.0
48,-560.0
49,-578.0
50,-560.0
51,-160.0
52,-524.0
53,-91.0
54,-695.0
55,-506.0
56,-542.0
57,-713.0
58,-533.0
59,-434.0
60,-533.0
61,-524.0
62,-497.0
63,-614.0
64,-533.0
65,-524.0
66,-587.0
67,-533.0
68,-551.0
69,-265.0
70,-243.0
71,-515.0
72,-533.0
73,-524.0
74,-493.0
75,-443.0
76,-434.0
77,-524.0
78,-488.0
79,-151.0
80,-416.0
81,-524.0
82,-380.0
83,-418.0
84,-263.0
85,-315.0
86,-461.0
87,-497.0
88,-407.0
89,-533.0
90,-470.0
91,-488.0
92,-524.0
93,-470.0
94,-461.0
95,-443.0
96,-240.0
97,-398.0
98,-380.0
99,-371.0
100,-479.0
101,-389.0
102,-416.0
103,-389.0
104,-452.0
105,-371.0
106,-452.0
107,-127.0
108,-416.0
109,-443.0
110,-325.0
111,-380.0
112,-407.0
113,-398.0
114,-398.0
115,-353.0
116,-407.0
117,-407.0
118,-389.0
119,-380.0
120,-389.0
121,-416.0
122,-344.0
123,-58.0
124,-416.0
125,-111.0
126,-191.0
127,-335.0
128,-407.0
129,-308.0
130,-135.0
131,-407.0
132,-353.0
133,-344.0
134,-434.0
135,-302.0
136,-335.0
137,-257.0
138,-380.0
139,-218.0
140,-416.0
141,-132.0
142,-224.0
143,-308.0
144,-308.0
145,-371.0
146,-362.0
147,-10.0
148,-159.0
