,0
0,-749.0
1,-83.0
2,-758.0
3,-731.0
4,-839.0
5,-794.0
6,-677.0
7,-713.0
8,-650.0
9,-794.0
10,-848.0
11,-749.0
12,-758.0
13,-722.0
14,-803.0
15,-749.0
16,-731.0
17,-785.0
18,-677.0
19,-695.0
20,-695.0
21,-659.0
22,-614.0
23,-722.0
24,-704.0
25,-677.0
26,-641.0
27,-578.0
28,-722.0
29,-821.0
30,-641.0
31,-497.0
32,-677.0
33,-704.0
34,-686.0
35,-668.0
36,-623.0
37,-578.0
38,-632.0
39,-578.0
40,-569.0
41,-695.0
42,-587.0
43,-448.0
44,-562.0
45,-538.0
46,-677.0
47,-650.0
48,-677.0
49,-587.0
50,-497.0
51,-614.0
52,-488.0
53,-412.0
54,-587.0
55,-524.0
56,-560.0
57,-587.0
58,-253.0
59,-138.0
60,-515.0
61,-479.0
62,-497.0
63,-515.0
64,-497.0
65,-470.0
66,-677.0
67,-377.0
68,-569.0
69,-461.0
70,-488.0
71,-470.0
72,-452.0
73,-515.0
74,-470.0
75,-506.0
76,-452.0
77,-578.0
78,-479.0
79,-506.0
80,-488.0
81,-524.0
82,-443.0
83,-425.0
84,-425.0
85,-497.0
86,-380.0
87,-443.0
88,-461.0
89,-416.0
90,-533.0
91,-255.0
92,-371.0
93,-354.0
94,-479.0
95,-317.0
96,-434.0
97,-398.0
98,-497.0
99,-195.0
100,-470.0
101,-69.0
102,-389.0
103,-470.0
104,-398.0
105,-171.0
106,-353.0
107,-434.0
108,-158.0
109,-380.0
110,-371.0
111,-256.0
112,-353.0
113,-425.0
114,-344.0
115,-326.0
116,-434.0
117,-344.0
118,-103.0
119,-30.0
120,-135.0
121,-398.0
122,-249.0
123,-395.0
124,-416.0
125,-353.0
126,-371.0
127,-208.0
128,-54.0
129,-398.0
130,-353.0
131,-371.0
132,-110.0
133,-340.0
134,-309.0
135,-299.0
136,-176.0
137,-233.0
138,-335.0
139,-17.0
140,-62.0
141,-335.0
142,-183.0
143,-287.0
144,-32.0
145,-407.0
146,-362.0
147,-371.0
148,-135.0
149,-263.0
150,-350.0
151,-344.0
152,-39.0
153,-335.0
154,-317.0
155,-266.0
156,-371.0
157,-107.0
158,-335.0
159,-299.0
160,-244.0
161,-344.0
162,-43.0
163,-326.0
164,-276.0
165,-137.0
166,-168.0
167,-326.0
168,-344.0
169,-165.0
170,-97.0
171,-281.0
172,-326.0
173,-140.0
174,-127.0
175,-260.0
176,-57.0
177,-27.0
178,-254.0
179,-308.0
180,-75.0
181,-46.0
182,-29.0
183,-131.0
184,-308.0
185,-308.0
186,-290.0
187,-29.0
188,-177.0
189,-50.0
190,-75.0
191,-205.0
192,-228.0
193,-263.0
194,-77.0
195,-286.0
196,-175.0
197,-183.0
198,-142.0
199,-178.0
200,-150.0
201,-245.0
202,-299.0
203,-52.0
204,-249.0
205,-223.0
206,-159.0
207,-151.0
208,-254.0
209,-193.0
210,-265.0
211,-140.0
212,-179.0
213,-199.0
214,-101.0
215,-299.0
216,-64.0
217,-85.0
218,-272.0
219,-224.0
220,-134.0
221,-113.0
222,-45.0
223,-272.0
224,-80.0
225,-86.0
226,0.0
227,-209.0
228,-12.0
229,-263.0
230,-77.0
231,-28.0
232,-233.0
233,-281.0
234,-103.0
235,-91.0
236,-239.0
237,-281.0
238,-89.0
239,-36.0
240,-197.0
241,-1.0
242,-26.0
243,-109.0
244,-29.0
245,-245.0
246,-78.0
247,-152.0
248,-117.0
249,-103.0
250,-42.0
251,-164.0
252,-268.0
253,-190.0
254,-36.0
255,-162.0
256,-58.0
257,-205.0
258,-54.0
259,-165.0
260,-1.0
261,-124.0
262,-98.0
263,-124.0
264,-153.0
265,-176.0
266,-90.0
267,-18.0
268,-90.0
269,-91.0
270,-114.0
271,-54.0
272,12.0
273,12.0
274,-245.0
275,-63.0
276,-219.0
277,-209.0
278,-128.0
279,-75.0
280,-182.0
281,-18.0
282,11.0
283,-56.0
284,-148.0
285,-185.0
286,-48.0
287,-152.0
288,10.0
289,-37.0
290,-82.0
291,-34.0
292,-128.0
293,-136.0
294,-168.0
295,-19.0
296,-216.0
297,-129.0
298,-117.0
299,-4.0
300,-100.0
301,3.0
302,-104.0
303,-93.0
304,-41.0
305,3.0
306,-13.0
307,-9.0
308,-127.0
309,-227.0
310,-30.0
311,-71.0
312,-27.0
313,-90.0
314,-38.0
315,-130.0
316,-44.0
317,-51.0
318,-87.0
319,-146.0
320,-55.0
321,-116.0
322,-70.0
323,-32.0
324,-12.0
325,-64.0
326,-77.0
327,-93.0
328,-108.0
329,-33.0
330,-8.0
331,-126.0
332,-200.0
333,-84.0
334,-62.0
335,-63.0
336,-113.0
337,-14.0
338,-119.0
339,-39.0
340,-98.0
341,-33.0
342,-85.0
343,5.0
344,-105.0
345,-1.0
346,-82.0
347,15.0
348,-13.0
349,-126.0
350,1.0
351,-68.0
352,-13.0
353,-75.0
354,-61.0
355,-3.0
356,-78.0
357,-42.0
358,-66.0
359,-13.0
360,-6.0
361,7.0
362,-64.0
363,-24.0
364,-90.0
365,-218.0
366,-82.0
367,-42.0
368,-25.0
369,-26.0
370,-116.0
371,-42.0
372,-176.0
373,12.0
374,0.0
375,11.0
376,-66.0
377,5.0
378,11.0
379,-29.0
380,-59.0
381,-14.0
382,-81.0
383,-70.0
384,-15.0
385,-16.0
386,-45.0
387,-138.0
388,-17.0
389,-4.0
390,-90.0
391,-90.0
392,-4.0
393,-19.0
394,-187.0
395,-23.0
396,-22.0
397,-169.0
398,11.0
399,-89.0
400,10.0
401,-114.0
402,-10.0
403,-47.0
404,-24.0
405,-48.0
406,-38.0
407,-40.0
408,-109.0
409,-28.0
410,-55.0
411,-77.0
412,-42.0
413,4.0
414,10.0
415,4.0
416,-84.0
417,-93.0
418,-47.0
419,-77.0
420,4.0
421,-53.0
422,-135.0
423,-54.0
424,-36.0
425,-74.0
426,-40.0
427,-122.0
428,-30.0
429,-74.0
430,-25.0
431,7.0
432,-61.0
433,12.0
434,-73.0
435,-9.0
436,-20.0
437,-74.0
438,10.0
439,-13.0
440,-36.0
441,-50.0
442,9.0
443,-11.0
444,-40.0
445,-24.0
446,11.0
447,-73.0
448,-35.0
449,6.0
450,13.0
451,-36.0
452,-28.0
453,-59.0
454,-80.0
455,13.0
456,9.0
457,-9.0
458,-13.0
459,-4.0
460,2.0
461,-11.0
462,-11.0
463,-49.0
464,10.0
465,-8.0
466,7.0
467,12.0
468,14.0
469,-50.0
470,3.0
471,14.0
472,-29.0
473,-21.0
474,-10.0
475,10.0
476,-24.0
477,15.0
478,-6.0
479,-22.0
480,-71.0
481,-14.0
482,1.0
483,-17.0
484,5.0
485,14.0
486,-11.0
487,-55.0
488,-2.0
489,-33.0
490,12.0
491,-19.0
492,-58.0
493,-48.0
494,-37.0
495,-78.0
496,-54.0
497,-15.0
498,9.0
499,-10.0
500,5.0
501,-10.0
502,3.0
503,-28.0
504,10.0
505,-4.0
506,0.0
507,-39.0
508,-7.0
509,-14.0
510,-9.0
511,9.0
512,-24.0
513,-55.0
514,1.0
515,11.0
516,-8.0
517,10.0
518,13.0
519,7.0
520,-6.0
521,7.0
522,9.0
523,10.0
524,-3.0
525,12.0
526,-25.0
527,-66.0
528,11.0
529,-80.0
530,-30.0
531,9.0
532,-68.0
533,5.0
534,13.0
535,-44.0
536,-26.0
537,7.0
538,9.0
539,-51.0
540,9.0
541,-17.0
542,10.0
543,4.0
544,4.0
545,8.0
546,-24.0
547,-13.0
548,13.0
549,-15.0
550,14.0
551,-7.0
552,-7.0
553,-48.0
554,-3.0
555,-37.0
556,-33.0
557,9.0
558,5.0
559,10.0
560,-17.0
561,-20.0
562,-36.0
563,7.0
564,-56.0
565,10.0
566,-6.0
567,6.0
568,8.0
569,-2.0
570,9.0
571,-14.0
572,-3.0
573,-50.0
574,-10.0
575,2.0
576,10.0
577,-70.0
578,-16.0
579,7.0
580,10.0
581,10.0
582,12.0
583,10.0
584,-39.0
585,-2.0
586,-54.0
587,4.0
588,-53.0
589,10.0
590,-13.0
591,10.0
592,5.0
593,10.0
594,11.0
595,-16.0
596,-20.0
597,-42.0
598,-41.0
599,-39.0
600,0.0
601,-23.0
602,-2.0
603,-17.0
604,-6.0
605,9.0
606,-17.0
607,-6.0
608,-34.0
609,5.0
610,7.0
611,-35.0
612,-33.0
613,-40.0
614,4.0
615,-10.0
616,-9.0
617,-20.0
618,-12.0
619,-25.0
620,9.0
621,-4.0
622,13.0
623,-30.0
624,-42.0
625,6.0
626,9.0
627,8.0
628,7.0
629,11.0
630,10.0
631,-7.0
632,-13.0
633,7.0
634,12.0
635,10.0
636,10.0
637,-2.0
638,9.0
639,-19.0
640,11.0
641,14.0
642,-18.0
643,8.0
644,13.0
645,6.0
646,-34.0
647,10.0
648,1.0
649,12.0
650,4.0
651,12.0
652,10.0
653,-81.0
654,-2.0
655,0.0
656,-56.0
657,-12.0
658,-2.0
659,11.0
660,3.0
661,1.0
662,-4.0
663,-27.0
664,-14.0
665,-55.0
666,-51.0
667,-11.0
668,-21.0
669,14.0
670,-12.0
671,12.0
672,11.0
673,8.0
674,-3.0
675,-4.0
676,8.0
677,9.0
678,5.0
679,4.0
680,9.0
681,7.0
682,-3.0
683,-31.0
684,4.0
685,-12.0
686,-5.0
687,7.0
688,10.0
689,-18.0
690,-27.0
691,-33.0
692,3.0
693,9.0
694,8.0
695,-4.0
696,-34.0
697,-5.0
698,-8.0
699,1.0
700,9.0
701,2.0
702,-26.0
703,8.0
704,1.0
705,-10.0
706,-68.0
707,2.0
708,-28.0
709,12.0
710,-19.0
711,3.0
712,9.0
713,-9.0
714,-5.0
715,-11.0
716,8.0
717,11.0
718,-10.0
719,13.0
720,-29.0
721,8.0
722,-23.0
723,9.0
724,-14.0
725,-3.0
726,10.0
727,-1.0
728,-14.0
729,11.0
730,-4.0
731,-22.0
732,0.0
733,-12.0
734,9.0
735,-12.0
736,-1.0
737,10.0
738,-15.0
739,7.0
740,11.0
741,-7.0
742,10.0
743,4.0
744,7.0
745,-5.0
746,-38.0
747,-19.0
748,-13.0
749,8.0
750,8.0
751,14.0
752,-22.0
753,4.0
754,10.0
755,3.0
756,15.0
757,-1.0
758,-4.0
759,6.0
760,6.0
761,-14.0
762,-4.0
763,-9.0
764,-26.0
765,-2.0
766,6.0
767,-3.0
768,6.0
769,6.0
770,10.0
771,11.0
772,13.0
773,-2.0
774,-17.0
775,8.0
776,-45.0
777,-61.0
778,-34.0
779,7.0
780,-5.0
781,1.0
782,-22.0
783,11.0
784,-7.0
785,-21.0
786,0.0
787,10.0
788,1.0
789,-7.0
790,-34.0
791,11.0
792,10.0
793,8.0
794,3.0
795,-4.0
796,-2.0
797,10.0
798,-13.0
799,10.0
800,4.0
801,9.0
802,-30.0
803,1.0
804,4.0
805,-7.0
806,-2.0
807,-17.0
808,11.0
809,5.0
810,11.0
811,-1.0
812,9.0
813,12.0
814,-3.0
815,10.0
816,11.0
817,-7.0
818,7.0
819,-5.0
820,-3.0
821,2.0
822,4.0
823,-39.0
824,-11.0
825,-1.0
826,-7.0
827,-17.0
828,6.0
829,3.0
830,-4.0
831,-2.0
832,3.0
833,-2.0
834,1.0
835,4.0
836,13.0
837,13.0
838,10.0
839,-11.0
840,0.0
841,-2.0
842,6.0
843,-18.0
844,-16.0
845,9.0
846,10.0
847,8.0
848,8.0
849,7.0
850,7.0
851,-3.0
852,5.0
853,-10.0
854,-7.0
855,10.0
856,1.0
857,-10.0
858,-3.0
859,10.0
860,-8.0
861,11.0
862,8.0
863,8.0
864,-12.0
865,9.0
866,-4.0
867,8.0
868,2.0
869,1.0
870,1.0
871,15.0
872,0.0
873,1.0
874,-2.0
875,13.0
876,11.0
877,2.0
878,8.0
879,0.0
880,6.0
881,-2.0
882,1.0
883,-2.0
884,11.0
885,-71.0
886,11.0
887,-16.0
888,-26.0
889,8.0
890,10.0
891,-5.0
892,-5.0
893,6.0
894,-3.0
895,0.0
896,-4.0
897,7.0
898,8.0
899,8.0
900,15.0
901,11.0
902,7.0
903,1.0
904,2.0
905,-26.0
906,5.0
907,-30.0
908,11.0
909,7.0
910,-5.0
911,13.0
912,7.0
913,10.0
914,2.0
915,9.0
916,-5.0
917,-6.0
918,-10.0
919,10.0
920,-7.0
921,8.0
922,6.0
923,-11.0
924,8.0
925,5.0
926,6.0
927,11.0
928,-19.0
929,6.0
930,3.0
931,-12.0
932,10.0
933,-2.0
934,11.0
935,3.0
936,7.0
937,7.0
938,11.0
939,8.0
940,8.0
941,2.0
942,10.0
943,-1.0
944,7.0
945,11.0
946,10.0
947,8.0
948,7.0
949,5.0
950,-21.0
951,-13.0
952,0.0
953,10.0
954,9.0
955,-1.0
956,3.0
957,-11.0
958,0.0
959,10.0
960,-7.0
961,-15.0
962,14.0
963,10.0
964,12.0
965,-5.0
966,9.0
967,4.0
968,12.0
969,13.0
970,8.0
971,13.0
972,11.0
973,10.0
974,7.0
975,7.0
976,14.0
977,7.0
978,6.0
979,0.0
980,-3.0
981,5.0
982,-3.0
983,-3.0
984,-11.0
985,-2.0
986,0.0
987,7.0
988,8.0
989,9.0
990,13.0
991,0.0
992,8.0
993,4.0
994,6.0
995,0.0
996,5.0
997,5.0
998,8.0
999,8.0
1000,7.0
1001,3.0
1002,9.0
1003,10.0
1004,8.0
1005,0.0
1006,8.0
1007,-13.0
1008,10.0
1009,-2.0
1010,8.0
1011,9.0
1012,0.0
1013,-1.0
1014,8.0
1015,-2.0
1016,0.0
1017,-13.0
1018,-26.0
1019,-10.0
1020,-11.0
1021,4.0
1022,9.0
1023,9.0
1024,15.0
1025,-8.0
1026,7.0
1027,-1.0
1028,-4.0
1029,-3.0
1030,-4.0
1031,13.0
1032,-5.0
1033,11.0
1034,8.0
1035,6.0
1036,1.0
1037,0.0
1038,-8.0
1039,6.0
1040,10.0
1041,4.0
1042,6.0
1043,-9.0
1044,5.0
1045,11.0
1046,-5.0
1047,-5.0
1048,13.0
1049,-3.0
1050,9.0
1051,10.0
1052,10.0
1053,11.0
1054,3.0
1055,2.0
1056,3.0
1057,-8.0
1058,9.0
1059,-22.0
1060,7.0
1061,-1.0
1062,8.0
1063,9.0
1064,6.0
1065,4.0
1066,9.0
1067,8.0
1068,12.0
1069,7.0
1070,11.0
1071,1.0
1072,7.0
1073,-6.0
1074,4.0
1075,-2.0
1076,6.0
1077,14.0
1078,6.0
1079,8.0
1080,9.0
1081,6.0
1082,11.0
1083,6.0
1084,9.0
1085,-2.0
1086,0.0
1087,8.0
1088,5.0
1089,12.0
1090,9.0
1091,6.0
1092,7.0
1093,13.0
1094,4.0
1095,4.0
1096,7.0
1097,11.0
1098,10.0
1099,5.0
1100,3.0
1101,8.0
1102,5.0
1103,4.0
1104,12.0
1105,-4.0
1106,13.0
1107,4.0
1108,7.0
1109,6.0
1110,11.0
1111,-1.0
1112,10.0
1113,13.0
1114,2.0
1115,6.0
1116,3.0
1117,-2.0
1118,-1.0
1119,4.0
1120,-1.0
1121,4.0
1122,10.0
1123,2.0
1124,14.0
1125,8.0
1126,5.0
1127,4.0
1128,9.0
1129,14.0
1130,10.0
1131,8.0
1132,-3.0
1133,0.0
1134,11.0
1135,10.0
1136,6.0
1137,-3.0
1138,7.0
1139,9.0
1140,4.0
1141,8.0
1142,6.0
1143,7.0
1144,3.0
1145,7.0
1146,-4.0
1147,-20.0
1148,8.0
1149,5.0
1150,8.0
1151,8.0
1152,6.0
1153,-13.0
1154,-26.0
1155,3.0
1156,7.0
1157,5.0
1158,-2.0
1159,12.0
1160,11.0
1161,-8.0
1162,5.0
1163,-27.0
1164,9.0
1165,7.0
1166,4.0
1167,-10.0
1168,10.0
1169,10.0
1170,13.0
1171,12.0
1172,9.0
1173,10.0
1174,11.0
1175,5.0
1176,4.0
1177,6.0
1178,4.0
1179,12.0
1180,7.0
1181,6.0
1182,10.0
1183,8.0
1184,-3.0
1185,8.0
1186,12.0
1187,8.0
1188,-12.0
1189,6.0
1190,2.0
1191,8.0
1192,11.0
1193,5.0
1194,6.0
1195,3.0
1196,9.0
1197,-3.0
1198,11.0
1199,11.0
1200,0.0
1201,9.0
1202,-11.0
1203,13.0
1204,6.0
1205,3.0
1206,-1.0
1207,7.0
1208,9.0
1209,5.0
1210,-5.0
1211,5.0
1212,9.0
1213,-5.0
1214,4.0
1215,9.0
1216,8.0
1217,7.0
1218,5.0
1219,12.0
1220,10.0
1221,-5.0
1222,6.0
1223,8.0
1224,-9.0
1225,9.0
1226,-1.0
1227,8.0
1228,6.0
1229,6.0
1230,3.0
1231,3.0
1232,9.0
1233,7.0
1234,-1.0
1235,10.0
1236,5.0
1237,6.0
1238,8.0
1239,8.0
1240,3.0
1241,5.0
1242,-1.0
1243,6.0
1244,2.0
1245,11.0
1246,6.0
1247,-4.0
1248,12.0
1249,4.0
