,0
0,-713.0
1,-722.0
2,-481.0
3,-713.0
4,-803.0
5,-677.0
6,-704.0
7,-812.0
8,-767.0
9,-233.0
10,-785.0
11,-740.0
12,-659.0
13,-309.0
14,-554.0
15,-812.0
16,-785.0
17,-659.0
18,-740.0
19,-677.0
20,-713.0
21,-803.0
22,-668.0
23,-704.0
24,-713.0
25,-668.0
26,-722.0
27,-704.0
28,-596.0
29,-632.0
30,-216.0
31,-704.0
32,-659.0
33,-533.0
34,-66.0
35,-740.0
36,-557.0
37,-731.0
38,-704.0
39,-537.0
40,-587.0
41,-668.0
42,-596.0
43,-641.0
44,-623.0
45,-605.0
46,-623.0
47,-569.0
48,-293.0
49,-188.0
50,-569.0
51,-605.0
52,-623.0
53,-560.0
54,-668.0
55,-578.0
56,-256.0
57,-533.0
58,-488.0
59,-524.0
60,-416.0
61,-515.0
62,-641.0
63,-470.0
64,-578.0
65,-332.0
66,-515.0
67,-173.0
68,-400.0
69,-452.0
70,-38.0
71,-470.0
72,-92.0
73,-407.0
74,-452.0
75,-488.0
76,-632.0
77,-496.0
78,-470.0
79,-560.0
80,-416.0
81,-506.0
82,-434.0
83,-185.0
84,-163.0
85,-416.0
86,-363.0
87,-524.0
88,-452.0
89,-560.0
90,-407.0
91,-133.0
92,-284.0
93,-362.0
94,-3.0
95,-443.0
96,-380.0
97,-416.0
98,-172.0
99,-506.0
100,-14.0
101,-461.0
102,-407.0
103,-497.0
104,-218.0
105,-148.0
106,-312.0
107,-313.0
108,-52.0
109,-416.0
110,-247.0
111,-197.0
112,-353.0
113,-380.0
114,-220.0
115,-272.0
116,-158.0
117,-342.0
118,-401.0
119,-434.0
120,-199.0
121,-39.0
122,-155.0
123,-186.0
124,-17.0
125,-302.0
126,-158.0
127,-380.0
128,-81.0
129,-64.0
130,-45.0
131,-80.0
132,-176.0
133,-407.0
134,-353.0
135,-74.0
136,-321.0
137,-129.0
138,-239.0
139,-172.0
140,-87.0
141,-37.0
142,-317.0
143,-50.0
144,-335.0
145,-150.0
146,-353.0
147,-389.0
148,-15.0
149,-165.0
150,-191.0
151,-59.0
152,-59.0
153,-2.0
154,-299.0
155,-59.0
156,-308.0
157,-90.0
158,-154.0
159,-92.0
160,-326.0
161,-318.0
162,-258.0
163,-299.0
164,-168.0
165,-180.0
166,-24.0
167,-91.0
168,-398.0
169,-198.0
170,-36.0
171,-153.0
172,-2.0
173,-106.0
174,-41.0
175,-49.0
176,-107.0
177,10.0
178,-55.0
179,-37.0
180,-200.0
181,-151.0
182,-107.0
183,-28.0
184,-14.0
185,-64.0
186,10.0
187,-95.0
188,-192.0
189,-139.0
190,-209.0
191,-185.0
192,-139.0
193,-200.0
194,-207.0
195,-278.0
196,-272.0
197,-81.0
198,-6.0
199,-116.0
200,-34.0
201,-28.0
202,-111.0
203,-134.0
204,-95.0
205,-39.0
206,-8.0
207,-111.0
208,-8.0
209,15.0
210,-173.0
211,-21.0
212,-37.0
213,-146.0
214,-199.0
215,-162.0
216,-107.0
217,-40.0
218,9.0
219,-115.0
220,-241.0
221,-98.0
222,-96.0
223,-1.0
224,-66.0
225,-18.0
226,-51.0
227,-137.0
228,-167.0
229,-90.0
230,-2.0
231,-95.0
232,-21.0
233,-67.0
234,-48.0
235,-61.0
236,-108.0
237,11.0
238,-135.0
239,-117.0
240,-24.0
241,-85.0
242,-68.0
243,-49.0
244,-116.0
245,1.0
246,-78.0
247,-13.0
248,-83.0
249,-65.0
250,-33.0
251,-44.0
252,-171.0
253,-91.0
254,13.0
255,-1.0
256,-103.0
257,-124.0
258,-56.0
259,8.0
260,-25.0
261,-33.0
262,-9.0
263,-112.0
264,-138.0
265,-3.0
266,10.0
267,11.0
268,-74.0
269,-4.0
270,-16.0
271,9.0
272,7.0
273,1.0
274,-30.0
275,-54.0
276,-95.0
277,-12.0
278,14.0
279,1.0
280,-47.0
281,-36.0
282,-76.0
283,-26.0
284,6.0
285,-55.0
286,-8.0
287,-34.0
288,-10.0
289,-48.0
290,-98.0
291,-32.0
292,-106.0
293,-2.0
294,13.0
