alpha,gamma,avg_reward
0.1,1.0,-20.2488
0.1,0.9,-21.128
0.1,0.8,-23.15
0.1,0.7,-25.6668
0.2,1.0,-12.281
0.2,0.9,-12.8268
0.2,0.8,-13.7972
0.2,0.7,-15.6524
0.3,1.0,-8.902
0.3,0.9,-10.4868
0.3,0.8,-9.7298
0.3,0.7,-11.3496
