,0
0,-731.0
1,-794.0
2,-812.0
3,-848.0
4,-609.0
5,-803.0
6,-821.0
7,-686.0
8,-821.0
9,-776.0
10,-722.0
11,-857.0
12,-731.0
13,-731.0
14,-740.0
15,-686.0
16,-749.0
17,-641.0
18,-686.0
19,-695.0
20,-677.0
21,-704.0
22,-722.0
23,-641.0
24,-632.0
25,-677.0
26,-731.0
27,-650.0
28,-659.0
29,-641.0
30,-677.0
31,-632.0
32,-695.0
33,-749.0
34,-740.0
35,-659.0
36,-623.0
37,-650.0
38,-686.0
39,-659.0
40,-614.0
41,-515.0
42,-596.0
43,-677.0
44,-641.0
45,-614.0
46,-578.0
47,-479.0
48,-452.0
49,-533.0
50,-587.0
51,-204.0
52,-506.0
53,-488.0
54,-668.0
55,-452.0
56,-587.0
57,-569.0
58,-560.0
59,-551.0
60,-464.0
61,-497.0
62,-524.0
63,-479.0
64,-452.0
65,-425.0
66,-515.0
67,-506.0
68,-524.0
69,-560.0
70,-506.0
71,-542.0
72,-506.0
73,-497.0
74,-506.0
75,-479.0
76,-587.0
77,-542.0
78,-461.0
79,-533.0
80,-407.0
81,-452.0
82,-497.0
83,-443.0
84,-605.0
85,-195.0
86,-499.0
87,-524.0
88,-425.0
89,-488.0
90,-443.0
91,-452.0
92,-407.0
93,-222.0
94,-200.0
95,-167.0
96,-443.0
97,-443.0
98,-389.0
99,-371.0
100,-560.0
101,-304.0
102,-416.0
103,-425.0
104,-181.0
105,-380.0
106,-398.0
107,-407.0
108,-389.0
109,-208.0
110,-249.0
111,-407.0
112,-452.0
113,-362.0
114,-452.0
115,-351.0
116,-407.0
117,-147.0
118,-398.0
119,-335.0
120,-380.0
121,-146.0
122,-479.0
123,-443.0
124,-339.0
125,-299.0
126,-380.0
127,-434.0
128,-243.0
129,-344.0
130,-362.0
131,-452.0
132,-380.0
133,-353.0
134,-132.0
135,-299.0
136,-335.0
137,-308.0
138,-353.0
139,-398.0
140,-263.0
141,-353.0
142,-290.0
143,-263.0
144,-249.0
145,-294.0
146,-299.0
147,-407.0
148,-416.0
149,-290.0
150,-335.0
151,-244.0
152,-109.0
153,-200.0
154,-83.0
155,-344.0
156,-167.0
157,-135.0
158,-218.0
159,-362.0
160,-167.0
161,-326.0
162,-326.0
163,-371.0
164,-72.0
165,-143.0
166,-246.0
167,-281.0
168,-280.0
169,-335.0
170,-335.0
171,-299.0
172,-290.0
173,-107.0
174,-272.0
175,-74.0
176,-245.0
177,-299.0
178,-317.0
179,-245.0
180,-245.0
181,-326.0
182,-67.0
183,-317.0
184,-254.0
185,-252.0
186,-254.0
187,-92.0
188,-290.0
189,-129.0
190,-326.0
191,-201.0
192,-191.0
193,-163.0
194,-335.0
195,-213.0
196,-281.0
197,-227.0
198,-272.0
199,-326.0
200,-299.0
201,-263.0
202,-212.0
203,-281.0
204,-152.0
205,-14.0
206,-281.0
207,-290.0
208,-263.0
209,-35.0
210,-272.0
211,-272.0
212,-91.0
213,-254.0
214,-263.0
215,-281.0
216,-245.0
217,-99.0
218,-254.0
219,-272.0
220,-236.0
221,-128.0
222,-135.0
223,-1.0
224,-173.0
225,-290.0
226,-254.0
227,0.0
228,-263.0
229,-272.0
230,-245.0
231,-91.0
232,-31.0
233,-181.0
234,-81.0
235,-281.0
236,-290.0
237,-58.0
238,-91.0
239,-129.0
240,-97.0
241,-125.0
242,-272.0
243,-154.0
244,-103.0
245,-212.0
246,-218.0
247,-105.0
248,-210.0
249,-254.0
250,-245.0
251,-308.0
252,-166.0
253,-254.0
254,-180.0
255,-236.0
256,-127.0
257,-227.0
258,-12.0
259,-290.0
260,-92.0
261,-254.0
262,-117.0
263,-239.0
264,-254.0
265,-1.0
266,-102.0
267,7.0
268,-215.0
269,-254.0
270,-227.0
271,-200.0
272,-189.0
273,-136.0
274,-140.0
275,-236.0
276,-43.0
277,-7.0
278,-127.0
279,-96.0
280,-227.0
281,-181.0
282,-200.0
283,-148.0
284,-113.0
285,-135.0
286,-180.0
287,-193.0
288,-145.0
289,-210.0
290,-236.0
291,-6.0
292,-227.0
293,-106.0
294,8.0
295,-136.0
296,-108.0
297,-52.0
298,-142.0
299,-17.0
300,-155.0
301,-209.0
302,-213.0
303,-218.0
304,-210.0
305,-209.0
306,-100.0
307,-156.0
308,-98.0
309,-109.0
310,-227.0
311,-72.0
312,-236.0
313,-177.0
314,-111.0
315,-34.0
316,-218.0
317,-149.0
318,-87.0
319,-32.0
320,-121.0
321,-140.0
322,-139.0
323,-97.0
324,-103.0
325,-236.0
326,-58.0
327,-227.0
328,-68.0
329,-129.0
330,-168.0
331,-88.0
332,-26.0
333,-102.0
334,-179.0
335,-13.0
336,-218.0
337,-16.0
338,-37.0
339,-80.0
340,-71.0
341,-132.0
342,-83.0
343,-30.0
344,-209.0
345,-91.0
346,-99.0
347,-163.0
348,-209.0
349,-167.0
350,-100.0
351,-180.0
352,-101.0
353,-174.0
354,-111.0
355,-236.0
356,-93.0
357,-94.0
358,-90.0
359,-53.0
360,-191.0
361,-175.0
362,-84.0
363,-4.0
364,-84.0
365,-23.0
366,-44.0
367,-85.0
368,-154.0
369,-122.0
370,-152.0
371,-94.0
372,-38.0
373,-65.0
374,-180.0
375,-131.0
376,-127.0
377,-19.0
378,-122.0
379,-92.0
380,-89.0
381,-113.0
382,2.0
383,-106.0
384,-115.0
385,-209.0
386,-84.0
387,-88.0
388,-128.0
389,-91.0
390,-218.0
391,-88.0
392,-5.0
393,4.0
394,-6.0
395,-60.0
396,-142.0
397,-112.0
398,-91.0
399,-61.0
400,-36.0
401,-89.0
402,-56.0
403,-39.0
404,-123.0
405,-91.0
406,-182.0
407,-179.0
408,-98.0
409,-84.0
410,-91.0
411,-4.0
412,5.0
413,-116.0
414,-154.0
415,-16.0
416,-4.0
417,-227.0
418,-6.0
419,5.0
420,-180.0
421,-90.0
422,-27.0
423,-41.0
424,-128.0
425,-48.0
426,-200.0
427,-49.0
428,-112.0
429,-77.0
430,-89.0
431,-115.0
432,-24.0
433,-124.0
434,-20.0
435,-135.0
436,-209.0
437,-103.0
438,-121.0
439,-84.0
440,-72.0
441,-91.0
442,9.0
443,-100.0
444,-59.0
445,-75.0
446,-151.0
447,-165.0
448,-8.0
449,12.0
450,-6.0
451,-114.0
452,14.0
453,-80.0
454,-181.0
455,-159.0
456,7.0
457,-1.0
458,-35.0
459,-65.0
460,-60.0
461,-34.0
462,-103.0
463,-31.0
464,15.0
465,-108.0
466,-50.0
467,-13.0
468,4.0
469,-116.0
470,-83.0
471,-112.0
472,-76.0
473,-31.0
474,-13.0
475,-161.0
476,-57.0
477,-77.0
478,-166.0
479,-53.0
480,-218.0
481,-16.0
482,-19.0
483,-110.0
484,-53.0
485,12.0
486,-145.0
487,-65.0
488,6.0
489,-32.0
490,7.0
491,-61.0
492,-75.0
493,-20.0
494,-108.0
495,-68.0
496,14.0
497,-43.0
498,-25.0
499,13.0
500,-69.0
501,3.0
502,-159.0
503,-98.0
504,-98.0
505,-68.0
506,-99.0
507,-61.0
508,-170.0
509,-27.0
510,-48.0
511,-27.0
512,-86.0
513,-61.0
514,-5.0
515,-31.0
516,-19.0
517,-81.0
518,-56.0
519,-105.0
520,-32.0
521,-52.0
522,13.0
523,-94.0
524,-144.0
525,-17.0
526,-151.0
527,-104.0
528,-41.0
529,12.0
530,-14.0
531,-67.0
532,-51.0
533,-58.0
534,-93.0
535,-31.0
536,-20.0
537,-59.0
538,-200.0
539,-177.0
540,-22.0
541,-71.0
542,-73.0
543,-26.0
544,6.0
545,-132.0
546,-40.0
547,-12.0
548,-5.0
549,-176.0
550,-84.0
551,-53.0
552,-76.0
553,-41.0
554,2.0
555,-39.0
556,-172.0
557,-99.0
558,-69.0
559,-94.0
560,-13.0
561,-67.0
562,-151.0
563,-123.0
564,-78.0
565,-142.0
566,-101.0
567,-49.0
568,11.0
569,-53.0
570,13.0
571,-94.0
572,13.0
573,-218.0
574,-3.0
575,-157.0
576,-107.0
577,-65.0
578,-65.0
579,-71.0
580,-20.0
581,-47.0
582,-85.0
583,-55.0
584,6.0
585,-9.0
586,-3.0
587,-56.0
588,-67.0
589,-173.0
590,-33.0
591,-87.0
592,7.0
593,-28.0
594,-46.0
595,-13.0
596,-8.0
597,-3.0
598,-158.0
599,15.0
600,4.0
601,-112.0
602,-73.0
603,-82.0
604,-17.0
605,-195.0
606,-8.0
607,-75.0
608,-50.0
609,-3.0
610,-12.0
611,-158.0
612,-168.0
613,-96.0
614,11.0
615,-58.0
616,-49.0
617,-70.0
618,-45.0
619,11.0
620,-52.0
621,-11.0
622,-39.0
623,14.0
624,-43.0
625,-70.0
626,14.0
627,-79.0
628,-32.0
629,-17.0
630,-8.0
631,-17.0
632,-204.0
633,-109.0
634,-91.0
635,-28.0
636,-28.0
637,-44.0
